take_profit_pct,entry_step_pct,position_size_pct,max_entries,leverage,roi,total_pnl,win_rate,total_trades,trades_per_day,daily_pnl,max_trade_dd,max_balance_dd,max_duration_h,avg_entries,final_balance,commission,roi_dd_ratio
0.3,4.0,15.0,3,4,7.321839120920913,73.21839120920848,100.0,240,0.1644962302947224,0.05018395559232932,66.96562909944464,6.822319838063249,15595.0,1.0916666666666666,1073.2183912092091,48.93441361096198,1.0732183912092093
0.3,4.0,15.0,3,6,7.321839120920913,73.21839120920848,100.0,240,0.1644962302947224,0.05018395559232932,66.96562909944464,6.822319838063249,15595.0,1.0916666666666666,1073.2183912092091,48.93441361096198,1.0732183912092093
1.0,2.0,8.0,3,2,6.629127484270112,66.29127484270137,99.47643979057592,191,0.13091158327621658,0.04543610338773226,73.36389965057673,18.38914464017077,16658.0,1.5287958115183247,1066.2912748427011,31.158572405942,0.3604913449747356
1.0,2.0,8.0,3,4,6.629127484270112,66.29127484270137,99.47643979057592,191,0.13091158327621658,0.04543610338773226,73.36389965057673,18.38914464017077,16658.0,1.5287958115183247,1066.2912748427011,31.158572405942,0.3604913449747356
1.0,2.0,8.0,3,6,6.629127484270112,66.29127484270137,99.47643979057592,191,0.13091158327621658,0.04543610338773226,73.36389965057673,18.38914464017077,16658.0,1.5287958115183247,1066.2912748427011,31.158572405942,0.3604913449747356
0.7,2.0,15.0,3,2,6.623278465631165,66.23278465631067,99.57627118644068,236,0.16175462645647704,0.04539601415785516,71.480803398013,24.988708708084452,16486.0,1.4152542372881356,1066.2327846563117,69.77546812675288,0.26505084928571654
0.7,2.0,15.0,3,4,6.623278465631165,66.23278465631067,99.57627118644068,236,0.16175462645647704,0.04539601415785516,71.480803398013,24.988708708084452,16486.0,1.4152542372881356,1066.2327846563117,69.77546812675288,0.26505084928571654
0.7,2.0,15.0,3,6,6.623278465631165,66.23278465631067,99.57627118644068,236,0.16175462645647704,0.04539601415785516,71.480803398013,24.988708708084452,16486.0,1.4152542372881356,1066.2327846563117,69.77546812675288,0.26505084928571654
0.5,3.0,10.0,3,2,6.490364585872543,64.90364585872507,99.6845425867508,317,0.21727210418094586,0.044485021150599775,67.25481956656706,13.892153551710578,15599.0,1.252365930599369,1064.9036458587254,51.47572185239513,0.4671964329874087
0.5,3.0,10.0,3,4,6.490364585872543,64.90364585872507,99.6845425867508,317,0.21727210418094586,0.044485021150599775,67.25481956656706,13.892153551710578,15599.0,1.252365930599369,1064.9036458587254,51.47572185239513,0.4671964329874087
