ID,Открытие,Закрытие,Входов,Средняя цена,Цена выхода,Количество,PnL,Комиссия,Чистый PnL,Просадка %,Длительность
112,2024-11-25 14:45,2024-11-25 15:15,1,3409.80,3443.90,0.0160,0.55,0.07,0.48,0.5,0ч 30мин
113,2024-11-25 17:00,2024-11-25 17:45,1,3429.51,3463.81,0.0159,0.55,0.07,0.48,0.0,0ч 45мин
114,2024-11-25 21:30,2024-11-25 23:00,1,3430.43,3464.73,0.0159,0.55,0.07,0.48,0.9,1ч 30мин
115,2024-11-26 07:00,2024-11-27 00:15,5,3315.34,3348.50,0.0826,2.74,0.33,2.41,2.2,17ч 15мин
116,2024-11-28 03:15,2024-11-28 08:30,1,3588.97,3624.86,0.0153,0.55,0.07,0.48,0.3,5ч 15мин
117,2024-11-28 14:15,2024-11-28 22:15,1,3559.75,3595.35,0.0154,0.55,0.07,0.48,0.5,8ч 0мин
118,2024-11-29 19:00,2024-11-29 20:30,1,3563.09,3598.72,0.0154,0.55,0.07,0.48,0.0,1ч 30мин
119,2024-11-30 10:45,2024-11-30 12:45,1,3644.27,3680.71,0.0151,0.55,0.07,0.48,0.0,2ч 0мин
120,2024-12-02 04:00,2024-12-02 05:00,1,3666.34,3703.00,0.0150,0.55,0.07,0.48,0.0,1ч 0мин
121,2024-12-02 08:15,2024-12-02 14:30,1,3619.79,3655.99,0.0152,0.55,0.07,0.48,1.1,6ч 15мин
122,2024-12-02 17:45,2024-12-02 18:00,1,3568.64,3604.33,0.0154,0.55,0.07,0.48,0.0,0ч 15мин
123,2024-12-03 13:30,2024-12-03 14:45,2,3544.65,3580.09,0.0311,1.10,0.13,0.97,0.9,1ч 15мин
124,2024-12-04 16:45,2024-12-04 17:15,1,3760.23,3797.83,0.0146,0.55,0.07,0.48,0.0,0ч 30мин
125,2024-12-05 00:30,2024-12-05 02:30,1,3804.58,3842.63,0.0145,0.55,0.07,0.49,0.7,2ч 0мин
126,2024-12-05 19:30,2024-12-06 00:30,2,3805.82,3843.88,0.0289,1.10,0.13,0.97,2.5,5ч 0мин
127,2024-12-06 12:45,2024-12-06 13:30,1,3839.10,3877.49,0.0144,0.55,0.07,0.49,0.0,0ч 45мин
128,2024-12-07 01:00,2024-12-12 03:45,5,3897.00,3935.97,0.0708,2.76,0.33,2.43,9.5,5д 2ч 45мин
129,2024-12-12 19:15,2024-12-13 03:30,1,3894.16,3933.10,0.0142,0.55,0.07,0.49,1.2,8ч 15мин
130,2024-12-14 12:30,2024-12-15 16:30,1,3878.52,3917.31,0.0143,0.55,0.07,0.49,1.2,1д 4ч 0мин
131,2024-12-16 11:30,2024-12-16 16:00,1,3926.96,3966.23,0.0141,0.55,0.07,0.49,0.8,4ч 30мин
132,2024-12-16 23:15,2024-12-17 03:15,1,3995.27,4035.22,0.0139,0.56,0.07,0.49,0.9,4ч 0мин
133,2024-12-17 15:15,2024-12-17 17:30,1,3933.61,3972.95,0.0141,0.55,0.07,0.49,0.0,2ч 15мин
134,2024-12-17 22:30,2025-07-20 16:30,5,3769.68,3807.37,0.0735,2.77,0.33,2.44,62.9,214д 18ч 0мин
135,2025-07-20 21:00,2025-07-20 21:45,1,3735.92,3773.28,0.0149,0.56,0.07,0.49,0.0,0ч 45мин
136,2025-07-21 16:45,2025-07-22 15:15,4,3687.67,3724.55,0.0602,2.22,0.27,1.95,2.2,22ч 30мин
137,2025-07-23 07:30,2025-07-23 23:15,4,3593.46,3629.39,0.0619,2.22,0.27,1.96,2.4,15ч 45мин
138,2025-07-24 05:00,2025-07-24 07:45,2,3545.82,3581.28,0.0315,1.12,0.13,0.98,1.3,2ч 45мин
139,2025-07-24 16:30,2025-07-24 17:00,1,3674.15,3710.89,0.0152,0.56,0.07,0.49,0.0,0ч 30мин
140,2025-07-25 00:30,2025-07-25 07:15,2,3628.95,3665.24,0.0307,1.11,0.13,0.98,2.0,6ч 45мин
141,2025-07-25 14:30,2025-07-25 20:30,1,3639.91,3676.31,0.0153,0.56,0.07,0.49,0.8,6ч 0мин
142,2025-07-28 13:00,2025-07-29 06:45,3,3794.27,3832.21,0.0442,1.68,0.20,1.47,1.9,17ч 45мин
143,2025-07-29 14:45,2025-07-30 02:30,1,3780.92,3818.73,0.0148,0.56,0.07,0.49,1.2,11ч 45мин
144,2025-07-30 11:30,2025-07-30 14:30,1,3751.00,3788.51,0.0149,0.56,0.07,0.49,0.0,3ч 0мин
145,2025-07-30 18:45,2025-07-30 20:00,1,3736.95,3774.32,0.0150,0.56,0.07,0.49,0.6,1ч 15мин
146,2025-07-31 14:00,2025-08-04 21:15,5,3696.64,3733.60,0.0758,2.80,0.34,2.46,8.7,4д 7ч 15мин
147,2025-08-05 03:30,2025-08-05 10:30,1,3653.18,3689.71,0.0154,0.56,0.07,0.49,1.2,7ч 0мин
148,2025-08-05 14:00,2025-08-06 05:15,1,3607.60,3643.68,0.0156,0.56,0.07,0.49,1.3,15ч 15мин
149,2025-08-10 05:15,2025-08-10 19:45,1,4215.82,4257.98,0.0133,0.56,0.07,0.49,1.2,14ч 30мин
150,2025-08-11 10:30,2025-08-11 13:45,1,4246.09,4288.55,0.0132,0.56,0.07,0.49,1.7,3ч 15мин
151,2025-08-11 19:45,2025-08-12 02:30,1,4257.61,4300.19,0.0132,0.56,0.07,0.49,1.3,6ч 45мин
152,2025-08-14 12:30,2025-08-14 13:45,2,4574.85,4620.60,0.0246,1.13,0.14,0.99,1.1,1ч 15мин
153,2025-08-14 16:00,2025-08-14 23:00,2,4497.45,4542.43,0.0251,1.13,0.14,0.99,1.6,7ч 0мин
154,2025-08-15 13:30,2025-08-15 23:00,5,4442.56,4486.99,0.0634,2.82,0.34,2.48,2.2,9ч 30мин
155,2025-08-16 10:00,2025-08-16 19:30,1,4392.07,4435.99,0.0129,0.57,0.07,0.50,0.1,9ч 30мин
156,2025-08-17 18:45,2025-08-17 22:15,1,4466.85,4511.52,0.0127,0.57,0.07,0.50,0.3,3ч 30мин
157,2025-08-18 01:15,2025-08-18 12:45,5,4296.57,4339.53,0.0658,2.83,0.34,2.49,2.1,11ч 30мин
158,2025-08-19 00:15,2025-08-19 00:45,1,4284.01,4326.85,0.0132,0.57,0.07,0.50,0.0,0ч 30мин
159,2025-08-19 03:15,2025-08-19 09:30,1,4253.88,4296.42,0.0133,0.57,0.07,0.50,1.2,6ч 15мин
160,2025-08-19 14:15,2025-08-20 05:45,3,4139.20,4180.60,0.0411,1.70,0.21,1.50,1.7,15ч 30мин
161,2025-08-20 13:45,2025-08-20 14:30,1,4134.26,4175.60,0.0137,0.57,0.07,0.50,0.2,0ч 45мин
162,2025-08-21 09:00,2025-08-21 14:15,1,4267.52,4310.20,0.0133,0.57,0.07,0.50,0.5,5ч 15мин
163,2025-08-21 16:45,2025-08-21 18:45,1,4219.81,4262.01,0.0135,0.57,0.07,0.50,0.2,2ч 0мин
164,2025-08-22 12:00,2025-08-22 13:30,1,4242.25,4284.67,0.0134,0.57,0.07,0.50,0.3,1ч 30мин
165,2025-08-23 01:15,2025-08-23 22:45,2,4723.79,4771.03,0.0241,1.14,0.14,1.00,1.6,21ч 30мин
166,2025-08-24 19:45,2025-08-24 20:15,2,4764.40,4812.05,0.0239,1.14,0.14,1.00,1.6,0ч 30мин
167,2025-08-25 00:30,2025-08-25 01:15,1,4692.80,4739.73,0.0121,0.57,0.07,0.50,0.0,0ч 45мин
168,2025-08-25 06:30,2025-08-25 13:15,2,4604.67,4650.72,0.0248,1.14,0.14,1.00,1.4,6ч 45мин
169,2025-08-25 19:00,2025-08-26 12:30,5,4436.91,4481.28,0.0643,2.85,0.34,2.51,2.4,17ч 30мин
170,2025-08-27 19:00,2025-08-27 20:15,1,4542.82,4588.25,0.0126,0.57,0.07,0.50,0.0,1ч 15мин
171,2025-08-27 22:00,2025-08-28 03:30,1,4496.99,4541.96,0.0127,0.57,0.07,0.50,0.1,5ч 30мин
172,2025-08-28 15:15,2025-08-29 12:30,5,4398.05,4442.04,0.0651,2.86,0.35,2.52,2.7,21ч 15мин
173,2025-08-29 14:00,2025-08-29 15:00,1,4285.83,4328.69,0.0134,0.57,0.07,0.51,0.1,1ч 0мин
174,2025-08-30 01:45,2025-08-30 02:15,1,4264.06,4306.70,0.0135,0.58,0.07,0.51,0.0,0ч 30мин
175,2025-08-31 23:30,2025-09-01 01:45,1,4384.87,4428.72,0.0131,0.57,0.07,0.51,0.3,2ч 15мин
176,2025-09-01 11:30,2025-09-02 01:30,4,4286.05,4328.91,0.0536,2.30,0.28,2.02,2.5,14ч 0мин
177,2025-09-02 12:30,2025-09-02 13:30,1,4300.19,4343.19,0.0134,0.58,0.07,0.51,0.6,1ч 0мин
178,2025-09-02 16:15,2025-09-02 17:45,1,4280.42,4323.22,0.0135,0.58,0.07,0.51,0.0,1ч 30мин
179,2025-09-04 04:45,2025-09-05 07:30,2,4345.28,4388.73,0.0265,1.15,0.14,1.01,2.0,1д 2ч 45мин
180,2025-09-05 14:15,2025-09-07 23:15,2,4276.24,4319.00,0.0269,1.15,0.14,1.01,1.4,2д 9ч 0мин
181,2025-09-08 19:30,2025-09-09 06:00,1,4290.81,4333.72,0.0134,0.57,0.07,0.51,0.2,10ч 30мин
182,2025-09-09 15:30,2025-09-10 02:15,1,4276.95,4319.72,0.0135,0.58,0.07,0.51,0.0,10ч 45мин
183,2025-09-10 18:15,2025-09-11 01:00,1,4334.08,4377.42,0.0133,0.58,0.07,0.51,0.6,6ч 45мин
184,2025-09-13 15:30,2025-09-17 22:45,5,4534.63,4579.98,0.0637,2.89,0.35,2.54,2.4,4д 7ч 15мин
185,2025-09-19 04:00,2025-10-02 16:00,5,4415.89,4460.04,0.0656,2.90,0.35,2.55,13.1,13д 12ч 0мин
186,2025-10-03 08:00,2025-10-03 10:15,1,4439.11,4483.50,0.0131,0.58,0.07,0.51,0.0,2ч 15мин
187,2025-10-03 17:45,2025-10-03 19:00,1,4470.06,4514.76,0.0130,0.58,0.07,0.51,0.0,1ч 15мин
188,2025-10-05 17:30,2025-10-06 06:15,1,4512.15,4557.27,0.0129,0.58,0.07,0.51,0.6,12ч 45мин
189,2025-10-07 14:00,2026-03-05 18:00,5,4533.18,2068.81,0.0641,-157.97,0.25,-158.22,61.0,149д 4ч 0мин
