datetime,open,high,low,close,volume
2025-02-21 10:45:00,2802.71,2804.24,2797.84,2799.75,6175.5
2025-02-21 11:00:00,2799.75,2805.32,2788.06,2788.58,12450.77
2025-02-21 11:15:00,2788.58,2803.26,2784.34,2798.48,11636.78
2025-02-21 11:30:00,2798.48,2800.34,2790.4,2792.6,4565.81
2025-02-21 11:45:00,2792.6,2794.81,2787.0,2787.11,5455.66
2025-02-21 12:00:00,2787.11,2794.62,2786.75,2794.31,8541.0
2025-02-21 12:15:00,2794.31,2800.0,2793.0,2797.3,6739.28
2025-02-21 12:30:00,2797.3,2804.62,2795.22,2797.96,7928.82
2025-02-21 12:45:00,2797.96,2805.92,2797.08,2805.77,7909.25
2025-02-21 13:00:00,2805.77,2842.99,2800.66,2836.89,43341.54
2025-02-21 13:15:00,2836.89,2838.88,2823.5,2830.4,18533.06
2025-02-21 13:30:00,2830.4,2844.95,2827.9,2833.6,23628.72
2025-02-21 13:45:00,2833.6,2840.31,2830.13,2835.4,7953.79
2025-02-21 14:00:00,2835.4,2837.4,2817.1,2820.58,16747.14
2025-02-21 14:15:00,2820.58,2827.63,2814.04,2820.22,11041.18
2025-02-21 14:30:00,2820.22,2820.22,2775.78,2793.42,96063.84
2025-02-21 14:45:00,2793.42,2807.39,2793.38,2805.72,39912.69
2025-02-21 15:00:00,2805.72,2830.83,2798.11,2826.7,43381.41
2025-02-21 15:15:00,2826.7,2831.11,2758.69,2787.74,123408.48
2025-02-21 15:30:00,2787.74,2787.78,2672.0,2723.7,256992.42
2025-02-21 15:45:00,2723.7,2743.74,2698.17,2722.29,128306.24
2025-02-21 16:00:00,2722.29,2756.84,2688.11,2752.33,105002.98
2025-02-21 16:15:00,2752.33,2769.99,2735.25,2739.8,82492.78
2025-02-21 16:30:00,2739.8,2755.72,2734.23,2737.15,47358.86
2025-02-21 16:45:00,2737.15,2739.56,2723.14,2735.88,34112.16
2025-02-21 17:00:00,2735.88,2741.64,2712.51,2718.45,26548.52
2025-02-21 17:15:00,2718.45,2718.54,2700.78,2705.41,34407.26
2025-02-21 17:30:00,2705.41,2706.64,2651.32,2666.3,77413.88
2025-02-21 17:45:00,2666.3,2678.99,2660.55,2670.98,25910.03
2025-02-21 18:00:00,2670.98,2684.0,2659.15,2672.28,24778.02
2025-02-21 18:15:00,2672.28,2691.8,2672.17,2682.25,34472.23
2025-02-21 18:30:00,2682.25,2689.7,2669.1,2682.01,19921.5
2025-02-21 18:45:00,2682.01,2685.64,2676.51,2677.78,13107.53
2025-02-21 19:00:00,2677.78,2684.99,2672.81,2677.16,13117.23
2025-02-21 19:15:00,2677.16,2677.68,2638.45,2644.14,50139.62
2025-02-21 19:30:00,2644.14,2658.1,2623.49,2633.7,38644.44
2025-02-21 19:45:00,2633.7,2647.89,2624.14,2638.68,26720.67
2025-02-21 20:00:00,2638.68,2659.71,2636.62,2654.78,22210.85
2025-02-21 20:15:00,2654.78,2657.93,2635.5,2653.88,21090.47
2025-02-21 20:30:00,2653.88,2661.77,2636.8,2647.71,15792.66
2025-02-21 20:45:00,2647.71,2650.17,2627.64,2634.19,14458.35
2025-02-21 21:00:00,2634.19,2647.46,2629.5,2639.4,15811.04
2025-02-21 21:15:00,2639.4,2640.05,2620.77,2621.59,14024.51
2025-02-21 21:30:00,2621.59,2635.54,2616.76,2626.4,20646.81
2025-02-21 21:45:00,2626.4,2647.31,2625.75,2643.72,14514.94
2025-02-21 22:00:00,2643.72,2644.37,2634.67,2638.69,8882.43
